id,fecha,fechaEntrega,estado,nombreDomiciliario,idDomiciliario,costo
1044,2/23/2024,3/17/2024,C,Jeddy,782,24714
1045,12/1/2023,9/6/2023,R,Rosalind,469,41410
1046,7/4/2023,5/17/2023,P,Elsie,46,42456
1047,5/4/2023,4/1/2024,P,Cole,226,13947
1048,12/3/2023,9/7/2023,C,Heloise,110,11218
1049,2/8/2024,4/1/2024,P,Dniren,475,9112
1050,12/9/2023,10/19/2023,C,Emmy,655,26974
1051,9/3/2023,12/28/2023,P,Gusti,748,44894
1052,11/5/2023,11/27/2023,E,Nealy,442,39657
1053,1/15/2024,3/12/2024,E,Arlen,696,2139
1054,4/16/2023,7/28/2023,R,Michaeline,846,36594
1055,6/2/2023,1/10/2024,R,Willdon,181,28753
1056,9/4/2023,9/27/2023,E,Rhys,581,44055
1057,6/28/2023,6/15/2023,P,Ayn,159,5412
1058,12/14/2023,7/17/2023,P,Diahann,254,35646
1059,2/26/2024,8/18/2023,C,Rosanne,443,21758
1060,8/26/2023,11/10/2023,E,Trenton,681,31266
1061,9/28/2023,9/29/2023,C,Birgitta,222,48466
1062,5/22/2023,10/27/2023,P,Elias,506,34610
1063,8/31/2023,9/13/2023,C,Johnette,768,36017
1064,4/17/2023,6/20/2023,C,Dede,399,16143
1065,2/18/2024,9/21/2023,P,Hill,81,11453
1066,2/14/2024,7/25/2023,C,Itch,734,7
1067,5/12/2023,12/1/2023,C,Joye,746,23208
1068,2/10/2024,11/12/2023,R,Tommi,97,47102
1069,1/11/2024,9/22/2023,P,Luise,456,4279
1070,9/27/2023,5/10/2023,E,Mara,547,30752
1071,1/26/2024,3/2/2024,E,Issi,661,32959
1072,10/15/2023,9/22/2023,C,Rhodie,674,40523
1073,5/17/2023,12/4/2023,R,Nichol,145,42301
1074,5/2/2023,9/12/2023,R,Juan,792,24741
1075,8/12/2023,8/22/2023,E,Tressa,893,37065
1076,10/6/2023,9/25/2023,P,Blake,454,6947
1077,11/23/2023,3/27/2024,R,Wilhelm,303,34997
1078,11/21/2023,3/19/2024,P,Alisun,19,36506
1079,8/20/2023,7/12/2023,P,Bendix,473,21792
1080,8/24/2023,12/1/2023,E,Stavro,307,30950
1081,6/3/2023,1/20/2024,E,Killie,666,23270
1082,11/28/2023,11/29/2023,P,Conny,906,6646
1083,1/20/2024,1/8/2024,E,Augustina,869,8985
1084,11/2/2023,11/21/2023,P,Berthe,340,6906
1085,3/22/2024,4/1/2024,E,Gladi,306,6500
1086,1/31/2024,10/24/2023,P,Gannon,832,8770
1087,8/25/2023,7/10/2023,P,Winfield,673,36996
1088,1/11/2024,5/13/2023,C,Happy,106,30566
1089,8/30/2023,12/25/2023,P,Vanessa,356,34021
1090,9/1/2023,12/5/2023,E,Nananne,641,2707
1091,4/11/2024,10/15/2023,R,Em,68,18367
1092,5/15/2023,12/14/2023,E,Clerc,594,1330
1093,1/30/2024,5/24/2023,C,Findley,334,39732
1094,5/18/2023,9/30/2023,P,Carroll,237,46461
1095,4/10/2024,10/11/2023,R,Bertha,122,34489
1096,11/9/2023,6/20/2023,P,Fredia,320,3887
1097,4/15/2023,8/21/2023,R,Buddy,137,46515
1098,9/17/2023,8/19/2023,E,Fernando,25,14762
1099,9/22/2023,3/16/2024,P,Jeremias,910,466
1100,2/1/2024,4/1/2024,R,Sutherland,892,10860
1101,5/22/2023,5/6/2023,R,Robbi,40,47783
1102,7/8/2023,6/30/2023,C,Johnette,61,23683
1103,9/25/2023,10/9/2023,P,Petra,330,24096
1104,9/27/2023,2/9/2024,E,Taddeusz,51,3275
1105,5/13/2023,10/22/2023,R,Tadeo,185,20422
1106,4/10/2024,4/22/2023,C,Moses,64,21618
1107,2/24/2024,3/11/2024,R,Jonah,715,23966
1108,7/8/2023,10/25/2023,C,Kimmi,721,4293
1109,8/24/2023,8/19/2023,R,Faunie,328,39245
1110,3/6/2024,12/10/2023,R,Nikolaos,354,23941
1111,9/11/2023,8/17/2023,C,Maye,914,49000
1112,11/16/2023,10/15/2023,C,Butch,969,11253
1113,3/27/2024,5/1/2023,P,Chelsae,500,32334
1114,2/2/2024,2/8/2024,P,Mace,538,22786
1115,6/13/2023,5/6/2023,R,Ennis,534,48012
1116,4/13/2023,6/16/2023,R,Hortense,887,46098
1117,5/26/2023,10/31/2023,E,Gilberte,253,38154
1118,1/25/2024,2/5/2024,P,Chev,586,5137
1119,5/8/2023,4/11/2024,E,Hubert,708,34425
1120,8/22/2023,7/5/2023,E,Gratia,376,9115
1121,4/11/2024,4/7/2024,P,Stormi,111,21949
1122,5/2/2023,8/20/2023,P,Appolonia,783,16138
1123,5/12/2023,5/27/2023,R,Roland,514,42526
1124,3/24/2024,5/7/2023,P,Jammie,36,42428
1125,9/16/2023,8/14/2023,E,Gorden,564,7149
1126,5/25/2023,4/5/2024,E,Hali,163,11395
1127,12/7/2023,4/3/2024,C,Kennith,423,23186
1128,10/28/2023,11/2/2023,P,Nike,618,40072
1129,4/28/2023,8/19/2023,C,Rowen,542,33597
1130,3/30/2024,3/18/2024,R,Megen,614,10057
1131,8/15/2023,5/15/2023,E,Judith,973,3147
1132,8/24/2023,11/8/2023,E,Fabe,854,6325
1133,5/21/2023,11/4/2023,E,Sue,706,29414
1134,2/26/2024,10/9/2023,P,Alec,490,9181
1135,8/16/2023,8/4/2023,C,Lyn,904,21884
1136,6/10/2023,8/2/2023,P,Duffy,314,18499
1137,7/20/2023,9/28/2023,P,Ethelyn,744,32752
1138,9/25/2023,9/18/2023,C,Tandi,986,24743
1139,3/12/2024,8/20/2023,P,Yance,369,32521
1140,8/22/2023,9/15/2023,R,Dania,474,19330
1141,6/13/2023,1/14/2024,P,Tera,525,15605
1142,2/20/2024,10/10/2023,C,Robinetta,823,22414
1143,1/6/2024,11/18/2023,E,Sherrie,80,6504
1144,10/21/2023,5/13/2023,E,Carie,985,17361
1145,2/26/2024,8/13/2023,E,Priscilla,919,25564
1146,7/5/2023,8/12/2023,C,Devin,79,17940
1147,10/2/2023,4/25/2023,C,Zora,136,49411
1148,2/21/2024,1/2/2024,P,Kath,684,34993
1149,4/9/2024,11/23/2023,R,Hamlin,418,44324
1150,7/14/2023,4/20/2023,E,Maddie,282,42690
1151,6/24/2023,3/5/2024,P,Stanleigh,458,35862
1152,5/14/2023,12/13/2023,P,Wilmer,119,21282
1153,10/11/2023,5/7/2023,R,Worden,317,16412
1154,5/19/2023,11/6/2023,E,Flore,381,47584
1155,2/5/2024,6/29/2023,C,Brenden,387,6473
1156,9/30/2023,10/15/2023,E,Odelia,218,30216
1157,6/4/2023,2/21/2024,R,Niven,598,33087
1158,8/18/2023,5/11/2023,C,Laryssa,140,40174
1159,12/6/2023,6/26/2023,P,Norene,948,35148
1160,11/5/2023,1/1/2024,P,Kaleena,710,801
1161,2/22/2024,4/20/2023,P,Filip,692,36378
1162,12/9/2023,8/18/2023,C,Koral,362,31334
1163,5/28/2023,11/16/2023,E,Miles,680,3504
1164,2/1/2024,1/19/2024,R,Shannah,551,9995
1165,11/16/2023,2/24/2024,C,Persis,483,5882
1166,5/12/2023,12/9/2023,R,Barde,74,43844
1167,12/18/2023,9/27/2023,R,Willetta,211,44756
1168,10/29/2023,5/2/2023,E,Patricia,318,13844
1169,9/6/2023,1/17/2024,C,Cassy,192,40329
1170,8/20/2023,8/31/2023,E,Blair,924,8724
1171,4/16/2023,11/5/2023,R,Audrie,508,12964
1172,6/21/2023,3/7/2024,P,Bride,147,36729
1173,12/20/2023,11/25/2023,E,Minda,363,42999
1174,7/7/2023,8/25/2023,P,Faith,489,32708
1175,8/22/2023,2/3/2024,C,Milton,902,4362
1176,9/23/2023,10/28/2023,P,Derk,532,1546
1177,12/23/2023,3/6/2024,R,Gale,592,28172
1178,8/6/2023,8/1/2023,C,Elisa,645,46685
1179,9/8/2023,8/23/2023,P,Natassia,300,19233
1180,11/10/2023,4/7/2024,P,Doria,47,17457
1181,5/14/2023,12/12/2023,E,Timmie,561,33345
1182,7/1/2023,8/20/2023,P,Lemar,281,25051
1183,9/23/2023,11/8/2023,R,Essa,548,3355
1184,1/16/2024,5/9/2023,C,Arty,434,3805
1185,6/30/2023,1/4/2024,C,Torrie,879,1169
1186,1/8/2024,3/9/2024,C,Minta,274,18739
1187,6/27/2023,11/28/2023,E,Jozef,559,11216
1188,9/4/2023,4/20/2023,P,Homere,811,33049
1189,6/9/2023,2/18/2024,P,Naoma,251,11211
1190,3/8/2024,3/7/2024,P,Ronnie,452,27613
1191,5/5/2023,7/29/2023,P,June,350,46121
1192,3/20/2024,7/9/2023,R,Ramona,275,49720
1193,10/29/2023,4/9/2024,E,Rees,9,28911
1194,12/6/2023,5/19/2023,C,Sandy,982,28258
1195,2/28/2024,1/12/2024,R,Alejandra,747,42148
1196,5/12/2023,10/25/2023,E,Sinclair,461,33985
1197,12/20/2023,10/22/2023,C,Sigmund,449,30040
1198,6/4/2023,11/25/2023,R,Land,183,9084
1199,11/30/2023,9/2/2023,E,Lonee,425,2740
1200,4/21/2023,2/27/2024,R,Leonerd,451,33613
1201,9/21/2023,8/1/2023,P,Laverna,149,600
1202,4/26/2023,5/12/2023,C,Antons,15,9191
1203,11/17/2023,11/4/2023,R,Shelia,722,32653
1204,2/23/2024,3/27/2024,P,Caddric,98,31812
1205,4/22/2023,6/25/2023,C,Jacob,920,45295
1206,11/17/2023,12/13/2023,P,Editha,938,25576
1207,9/21/2023,10/26/2023,E,Gilda,263,27202
1208,11/3/2023,11/9/2023,E,Ivor,346,24086
1209,11/13/2023,4/10/2024,E,Brander,778,18996
1210,11/1/2023,7/5/2023,P,April,479,34674
1211,4/20/2023,2/19/2024,P,Jordanna,240,37583
1212,10/20/2023,12/8/2023,E,Hodge,77,34620
1213,6/7/2023,9/4/2023,R,Dunc,578,5927
1214,9/5/2023,12/6/2023,R,Malcolm,642,38344
1215,5/25/2023,10/7/2023,P,Dee dee,209,11987
1216,3/30/2024,12/30/2023,R,Petronia,439,38128
1217,12/6/2023,2/19/2024,P,Randi,756,22143
1218,1/2/2024,12/24/2023,R,Samson,360,8144
1219,7/9/2023,3/1/2024,R,Donelle,937,33355
1220,6/18/2023,3/17/2024,C,Marv,751,10768
1221,8/13/2023,7/3/2023,C,Cam,929,18741
1222,10/20/2023,6/3/2023,C,Robinia,911,586
1223,7/9/2023,6/24/2023,R,Alexandre,860,4294
1224,2/2/2024,11/12/2023,C,Gerrie,762,29002
1225,4/19/2023,3/28/2024,C,Bernardina,774,3703
1226,12/9/2023,6/14/2023,R,Robin,50,44933
1227,6/29/2023,4/6/2024,P,Tucky,174,46385
1228,10/5/2023,8/25/2023,C,Callida,370,29846
1229,12/10/2023,11/3/2023,E,Daryl,562,41686
1230,12/9/2023,10/3/2023,E,Joelly,990,39267
1231,8/11/2023,5/11/2023,R,Jessee,319,35550
1232,2/11/2024,6/8/2023,C,Beatrice,23,8664
1233,2/6/2024,10/1/2023,C,Octavia,252,13083
1234,11/21/2023,5/9/2023,C,Kain,6,896
1235,3/18/2024,7/10/2023,P,Lucien,849,41975
1236,8/7/2023,5/31/2023,E,Leshia,438,26142
1237,2/10/2024,8/18/2023,R,Karly,625,48662
1238,6/29/2023,10/27/2023,R,Umberto,248,27718
1239,6/29/2023,11/20/2023,E,Othelia,435,26773
1240,6/7/2023,10/31/2023,P,Poul,912,42266
1241,9/26/2023,12/17/2023,P,Chester,589,18153
1242,5/7/2023,1/22/2024,R,Foss,653,26022
1243,10/31/2023,2/10/2024,C,Odell,299,1098
1244,7/24/2023,2/11/2024,C,Nigel,228,36431
1245,7/5/2023,10/16/2023,P,Vere,230,22161
1246,9/21/2023,11/30/2023,C,Ringo,841,17443
1247,6/5/2023,11/1/2023,R,Kimball,485,9964
1248,9/4/2023,1/23/2024,E,Astra,719,49416
1249,7/22/2023,1/3/2024,C,Pennie,773,10527
1250,11/29/2023,6/24/2023,P,Heda,788,31530
1251,1/15/2024,8/5/2023,R,Lynelle,210,14167
1252,4/17/2023,5/26/2023,R,Sloane,767,48468
1253,5/13/2023,4/29/2023,E,Jolene,531,48336
1254,5/25/2023,11/30/2023,R,Kile,806,38684
1255,5/12/2023,7/17/2023,R,Scarface,609,21826
1256,10/27/2023,1/10/2024,C,Gretal,44,7178
1257,8/6/2023,1/30/2024,R,Huberto,407,45623
1258,4/2/2024,1/11/2024,C,Noby,567,48802
1259,2/29/2024,2/16/2024,R,Sibyl,510,18295
1260,1/13/2024,10/25/2023,C,Shurlock,827,10119
1261,4/18/2023,12/9/2023,E,Ole,389,45319
1262,12/3/2023,8/4/2023,E,Waldon,373,43659
1263,9/29/2023,7/29/2023,C,Eloisa,968,44474
1264,4/16/2023,9/3/2023,E,Kendrick,260,37408
1265,10/4/2023,9/30/2023,C,Sheila-kathryn,996,28548
1266,11/28/2023,5/17/2023,R,Clarance,311,48027
1267,6/15/2023,10/12/2023,E,Ciro,191,25456
1268,10/5/2023,4/28/2023,E,Thacher,843,46964
1269,10/6/2023,5/26/2023,E,Saba,34,22435
1270,5/28/2023,3/2/2024,E,Martainn,60,31510
1271,4/28/2023,6/3/2023,E,Roxanna,91,27368
1272,3/13/2024,7/12/2023,R,Bernie,143,33956
1273,5/26/2023,8/15/2023,P,Goldia,766,29597
1274,7/23/2023,9/13/2023,C,Emlynn,847,14589
1275,2/11/2024,6/13/2023,E,Perrine,436,8672
1276,1/22/2024,9/25/2023,R,Gail,890,26234
1277,12/18/2023,6/25/2023,R,Elisabetta,409,14784
1278,3/11/2024,8/15/2023,E,Heddie,790,13699
1279,3/22/2024,3/25/2024,R,Kyla,487,12026
1280,10/13/2023,4/4/2024,C,Freddie,818,13395
1281,5/25/2023,10/15/2023,R,Amberly,779,41060
1282,4/11/2024,4/23/2023,P,Lek,945,7788
1283,8/19/2023,2/7/2024,C,Pavlov,465,4247
1284,9/8/2023,6/4/2023,E,Micah,324,27037
1285,12/13/2023,6/7/2023,C,Dorthea,146,41094
1286,5/11/2023,8/5/2023,E,Faye,726,45195
1287,10/31/2023,3/7/2024,P,Heloise,171,22483
1288,1/8/2024,1/23/2024,P,Alan,826,36924
1289,1/25/2024,5/31/2023,P,Ginger,650,43893
1290,11/10/2023,8/6/2023,P,Dene,270,48600
1291,8/30/2023,12/18/2023,P,Jaquenetta,444,45750
1292,12/15/2023,6/8/2023,E,Israel,223,13361
1293,12/19/2023,8/31/2023,E,Candra,512,12276
1294,9/2/2023,2/20/2024,C,Eberto,403,26179
1295,9/9/2023,10/31/2023,P,Waylen,463,29798
1296,1/29/2024,4/6/2024,E,Amber,529,49335
1297,2/21/2024,3/28/2024,P,Robby,400,39307
1298,5/2/2023,9/4/2023,R,Colby,397,42079
1299,9/24/2023,11/30/2023,R,Shirlene,38,24890
1300,5/18/2023,7/18/2023,P,Luca,590,10654
1301,4/2/2024,3/29/2024,C,Jillene,983,43798
1302,8/13/2023,12/15/2023,R,Aluino,585,13815
1303,1/25/2024,3/13/2024,C,Dale,72,10477
1304,3/23/2024,11/9/2023,P,Cammi,393,6433
1305,6/22/2023,10/31/2023,E,Hodge,231,21469
1306,4/22/2023,7/24/2023,C,Daniela,815,24624
1307,2/6/2024,2/10/2024,C,Tamera,960,49106
1308,9/28/2023,3/19/2024,R,Coraline,16,45671
1309,3/28/2024,4/26/2023,R,Ede,165,23837
1310,5/13/2023,10/11/2023,P,Wallis,104,25845
1311,10/23/2023,5/22/2023,C,Gabi,579,12809
1312,11/6/2023,8/4/2023,R,Mahmud,867,26763
1313,6/16/2023,3/28/2024,C,Sheppard,883,8213
1314,2/3/2024,7/16/2023,E,Marita,195,17024
1315,5/25/2023,4/14/2024,E,Garth,76,10682
1316,2/24/2024,6/14/2023,R,Alick,265,27657
1317,7/13/2023,7/25/2023,E,Martita,613,39171
1318,11/20/2023,1/19/2024,P,Alanna,100,9117
1319,4/26/2023,2/25/2024,P,Loy,856,44547
1320,2/5/2024,9/13/2023,E,Elias,154,25556
1321,8/22/2023,8/17/2023,C,Onfroi,493,14823
1322,2/16/2024,7/1/2023,P,Tadd,713,10553
1323,8/31/2023,5/12/2023,P,Em,916,34375
1324,10/31/2023,10/29/2023,R,Oona,802,44878
1325,12/26/2023,10/1/2023,E,Prent,96,4393
1326,5/3/2023,7/1/2023,P,Liz,396,40486
1327,10/27/2023,7/26/2023,E,Kort,200,38441
1328,12/29/2023,12/27/2023,E,Cori,643,44839
1329,3/18/2024,9/28/2023,P,Ignacio,390,46769
1330,8/5/2023,9/22/2023,C,Coralie,429,13458
1331,4/4/2024,4/20/2023,P,Tiler,315,15441
1332,8/7/2023,2/4/2024,C,Wally,402,42616
1333,1/9/2024,9/6/2023,P,Cecilio,736,12645
1334,1/9/2024,4/22/2023,E,Michel,365,47170
1335,5/20/2023,5/19/2023,E,Dre,660,31647
1336,5/22/2023,8/13/2023,C,Hedda,521,26167
1337,8/11/2023,1/15/2024,C,Nolana,519,18798
1338,5/27/2023,12/30/2023,E,Obadias,329,41034
1339,7/13/2023,12/23/2023,C,Elysha,737,42428
1340,1/19/2024,6/1/2023,P,Zak,288,35558
1341,7/27/2023,12/18/2023,P,Gaylor,601,48680
1342,6/8/2023,9/19/2023,C,Darleen,992,29255
1343,4/23/2023,7/9/2023,P,Bartlet,787,11805
1344,9/13/2023,8/15/2023,R,Pansie,672,6593
1345,9/10/2023,5/25/2023,E,Baron,691,23802
1346,4/9/2024,4/14/2024,C,Tess,342,38693
1347,2/10/2024,8/1/2023,P,Alexandre,95,39816
1348,12/10/2023,3/20/2024,P,Bret,962,36219
1349,2/18/2024,12/26/2023,P,Edy,604,42023
1350,12/26/2023,6/18/2023,E,Lothaire,900,1946
1351,4/26/2023,3/22/2024,R,Marijo,558,9700
1352,1/14/2024,5/8/2023,E,Belva,144,27012
1353,11/24/2023,11/19/2023,C,Clare,206,9121
1354,3/28/2024,8/19/2023,R,Edgardo,424,15333
1355,6/15/2023,9/17/2023,R,Hillier,290,17785
1356,9/18/2023,7/10/2023,R,Abigail,213,2488
1357,1/11/2024,3/7/2024,E,Collete,742,3848
1358,5/30/2023,10/23/2023,R,Elka,872,11154
1359,1/9/2024,5/13/2023,E,Rosa,836,31246
1360,11/2/2023,8/8/2023,R,Allie,556,48249
1361,6/4/2023,6/17/2023,R,Cornelle,754,18332
1362,12/19/2023,4/2/2024,E,Graham,139,37501
1363,12/27/2023,1/10/2024,E,Vivian,807,32161
1364,3/31/2024,11/14/2023,R,Alwyn,427,18049
1365,5/10/2023,9/3/2023,C,Meyer,302,35101
1366,9/27/2023,5/12/2023,R,Kirk,21,43958
1367,11/24/2023,7/10/2023,C,Esteban,378,19978
1368,2/22/2024,11/6/2023,C,Alyss,707,26910
1369,3/24/2024,8/6/2023,E,Jedidiah,246,29391
1370,7/25/2023,5/7/2023,C,Norah,271,33081
1371,12/23/2023,5/24/2023,P,Jenda,905,27060
1372,2/13/2024,6/21/2023,P,Ronnie,988,42794
1373,5/5/2023,7/5/2023,E,Jewelle,59,11719
1374,10/1/2023,3/25/2024,C,Chrysa,405,5222
1375,2/13/2024,6/2/2023,C,Martynne,256,34102
1376,3/3/2024,3/29/2024,C,Camey,336,9548
1377,2/14/2024,9/24/2023,C,Tedie,629,45516
1378,5/18/2023,2/1/2024,P,Gabrila,476,39028
1379,10/16/2023,8/12/2023,P,Martie,605,34600
1380,9/21/2023,8/27/2023,C,Seumas,505,5308
1381,7/25/2023,10/2/2023,E,Gerda,560,31894
1382,7/6/2023,5/16/2023,R,Stevie,404,39585
1383,8/28/2023,10/31/2023,E,Maud,26,36805
1384,5/3/2023,1/12/2024,P,Klaus,750,14528
1385,10/25/2023,11/8/2023,R,Chevalier,961,15481
1386,2/25/2024,5/25/2023,R,Tina,384,9992
1387,1/31/2024,2/18/2024,C,Elvira,895,43856
1388,10/9/2023,7/20/2023,C,Rhea,305,16153
1389,4/27/2023,7/30/2023,C,Bank,808,40986
1390,2/3/2024,4/14/2023,C,Tye,845,14181
1391,12/9/2023,10/25/2023,C,Consuelo,155,18269
1392,12/1/2023,1/3/2024,C,Foster,739,21334
1393,7/9/2023,7/11/2023,E,Ann-marie,595,38831
1394,2/10/2024,9/25/2023,E,Dyanna,536,34757
1395,5/24/2023,12/12/2023,R,Francesco,401,28368
1396,2/11/2024,1/7/2024,E,Willard,903,31424
1397,4/28/2023,6/9/2023,E,Cyndie,75,4204
1398,7/22/2023,9/11/2023,R,Siana,2,424
1399,4/14/2023,11/4/2023,P,Oralla,785,4546
1400,12/17/2023,8/8/2023,E,Prent,96,10180
1401,6/19/2023,11/17/2023,C,Gerri,244,33817
1402,7/26/2023,12/9/2023,E,Dido,541,33511
1403,1/3/2024,7/23/2023,P,Amalee,212,1168
1404,10/8/2023,7/20/2023,R,Wallache,467,36022
1405,10/4/2023,11/28/2023,E,Jared,42,30141
1406,8/4/2023,12/3/2023,C,Dorena,3,20919
1407,2/10/2024,2/24/2024,P,Koral,362,44004
1408,6/26/2023,10/17/2023,R,Benoit,695,1226
1409,3/3/2024,6/22/2023,P,Gram,631,40767
1410,1/31/2024,5/7/2023,R,Emmalynn,997,10600
1411,1/16/2024,4/14/2023,C,Torrie,879,16547
1412,12/13/2023,2/19/2024,E,Ronnie,452,36433
1413,7/12/2023,2/28/2024,R,Taddeusz,51,19561
1414,3/25/2024,4/27/2023,E,Rodrigo,794,42742
1415,12/11/2023,11/12/2023,E,Genevra,580,19887
1416,5/25/2023,4/5/2024,E,Tabbitha,520,10307
1417,3/20/2024,10/25/2023,C,Vina,204,34828
1418,12/30/2023,2/15/2024,E,Alexandre,860,18384
1419,6/21/2023,7/13/2023,E,Germaine,343,23680
1420,12/16/2023,4/24/2023,R,Teddy,426,26504
1421,10/27/2023,11/13/2023,P,Bertie,582,16892
1422,4/16/2023,7/23/2023,P,Dunn,45,15787
1423,7/16/2023,7/16/2023,R,Corliss,720,22703
1424,12/18/2023,12/30/2023,E,Lesley,683,31512
1425,4/17/2023,6/6/2023,R,Fredericka,279,25969
1426,11/5/2023,11/10/2023,P,Martie,605,43685
1427,9/6/2023,6/13/2023,R,Sissy,810,1688
1428,8/5/2023,3/15/2024,C,Sunny,295,24454
1429,7/4/2023,5/9/2023,R,Minda,363,30548
1430,6/19/2023,12/13/2023,E,Huberto,407,1750
1431,8/4/2023,6/28/2023,C,Lusa,976,46365
1432,2/13/2024,2/11/2024,P,Laurent,131,48688
1433,9/10/2023,7/18/2023,P,Ennis,534,7035
1434,10/26/2023,12/29/2023,P,Quinton,502,26422
1435,11/12/2023,7/3/2023,R,Kip,262,39265
1436,5/27/2023,7/3/2023,P,Brietta,676,30860
1437,10/15/2023,5/3/2023,R,Rees,9,38949
1438,2/1/2024,10/17/2023,R,Jacques,166,41179
1439,8/31/2023,3/7/2024,E,Ardyce,58,44476
1440,6/3/2023,10/18/2023,E,Waylen,821,24930
1441,4/19/2023,6/18/2023,P,Alisun,19,20597
1442,11/29/2023,2/15/2024,R,Chauncey,753,19077
1443,7/31/2023,7/2/2023,C,Carita,39,27713
1444,11/4/2023,8/28/2023,C,Emmalyn,731,29121
1445,12/17/2023,10/25/2023,R,Kimmi,721,22566
1446,9/17/2023,3/6/2024,E,Flore,381,3608
1447,6/4/2023,1/15/2024,R,Romonda,184,5178
1448,9/7/2023,12/28/2023,P,Marlin,90,48789
1449,12/8/2023,9/2/2023,R,Pansie,672,46551
1450,12/21/2023,6/29/2023,E,Dietrich,115,8840
1451,3/12/2024,1/16/2024,C,Bary,652,43570
1452,2/27/2024,6/9/2023,C,Gusella,665,42151
1453,4/8/2024,7/20/2023,E,Garvin,588,43936
1454,3/11/2024,2/12/2024,E,Roxie,803,3270
1455,2/14/2024,9/21/2023,E,Tandi,986,23996
1456,9/22/2023,6/8/2023,P,Kendrick,260,14078
1457,7/25/2023,9/19/2023,E,Tommi,97,49481
1458,12/6/2023,5/27/2023,C,Natassia,300,28302
1459,12/6/2023,11/21/2023,P,Ingmar,891,1105
1460,8/24/2023,7/13/2023,P,Ysabel,615,31384
1461,12/21/2023,9/19/2023,E,Phaidra,732,29563
1462,3/4/2024,10/26/2023,R,Wesley,53,38525
1463,10/7/2023,12/17/2023,R,Francoise,991,32729
1464,1/13/2024,4/29/2023,E,Iain,819,1945
1465,10/7/2023,3/15/2024,P,Francene,704,28877
1466,10/5/2023,3/21/2024,E,Sinclair,461,25434
1467,11/6/2023,1/7/2024,P,Ax,35,2763
1468,11/19/2023,10/3/2023,C,Zaneta,797,36219
1469,9/29/2023,10/9/2023,P,Linn,130,20133
1470,11/17/2023,12/6/2023,E,Ethelyn,744,25086
1471,7/7/2023,2/28/2024,P,Maressa,382,25568
1472,10/3/2023,1/10/2024,C,Dania,474,4763
1473,12/2/2023,1/23/2024,P,Lucien,849,6430
1474,4/29/2023,4/28/2023,R,Dallas,197,20208
1475,8/8/2023,5/9/2023,C,Consuelo,155,38080
1476,7/14/2023,1/17/2024,C,Cammi,393,40167
1477,4/16/2023,3/9/2024,C,Mace,538,49670
1478,10/2/2023,12/11/2023,P,Elsbeth,341,46752
1479,3/3/2024,2/19/2024,C,Cullan,339,24418
1480,3/30/2024,11/17/2023,C,Garrick,627,1767
1481,1/10/2024,9/11/2023,R,Hodge,77,41492
1482,4/6/2024,8/11/2023,C,Jodee,215,48144
