id,idCliente,direccionCliente
1049,1752,"Calle: z, Numero: 74, Ciudad: N"
1050,1122,"Calle: V, Numero: 39, Ciudad: O"
1051,1313,"Calle: p, Numero: 932, Ciudad: N"
1052,1829,"Calle: O, Numero: 7, Ciudad: l"
1053,1946,"Calle: j, Numero: 8, Ciudad: V"
1054,1506,"Calle: I, Numero: 38, Ciudad: D"
1055,1285,"Calle: g, Numero: 26, Ciudad: F"
1056,1004,"Calle: g, Numero: 860, Ciudad: I"
1057,1748,"Calle: P, Numero: 3, Ciudad: N"
1058,1551,"Calle: B, Numero: 74, Ciudad: Q"
1059,1214,"Calle: m, Numero: 595, Ciudad: x"
1060,1338,"Calle: k, Numero: 329, Ciudad: p"
1061,1599,"Calle: j, Numero: 168, Ciudad: O"
1062,1740,"Calle: C, Numero: 85, Ciudad: E"
1063,1018,"Calle: s, Numero: 21, Ciudad: H"
1064,1163,"Calle: w, Numero: 3, Ciudad: o"
1065,1417,"Calle: b, Numero: 916, Ciudad: s"
1066,1305,"Calle: a, Numero: 48, Ciudad: T"
1067,1547,"Calle: E, Numero: 0, Ciudad: u"
1068,1027,"Calle: F, Numero: 7, Ciudad: a"
1069,1415,"Calle: Z, Numero: 57, Ciudad: B"
1070,1777,"Calle: m, Numero: 32, Ciudad: O"
1071,1737,"Calle: T, Numero: 7, Ciudad: z"
1072,1929,"Calle: h, Numero: 2, Ciudad: F"
1073,1128,"Calle: G, Numero: 687, Ciudad: n"
1074,1446,"Calle: r, Numero: 71, Ciudad: P"
1075,1997,"Calle: v, Numero: 5, Ciudad: p"
1076,1284,"Calle: l, Numero: 911, Ciudad: o"
1077,1698,"Calle: v, Numero: 2, Ciudad: R"
1078,1171,"Calle: G, Numero: 05, Ciudad: c"
1079,1658,"Calle: w, Numero: 86, Ciudad: w"
1080,1342,"Calle: W, Numero: 750, Ciudad: N"
1081,1901,"Calle: o, Numero: 889, Ciudad: P"
1082,1250,"Calle: w, Numero: 0, Ciudad: Y"
1083,1928,"Calle: B, Numero: 26, Ciudad: X"
1084,1809,"Calle: u, Numero: 3, Ciudad: P"
1085,1537,"Calle: l, Numero: 65, Ciudad: V"
1086,1920,"Calle: G, Numero: 3, Ciudad: g"
1087,1888,"Calle: t, Numero: 421, Ciudad: x"
1088,1811,"Calle: b, Numero: 2, Ciudad: D"
1089,1189,"Calle: o, Numero: 670, Ciudad: C"
1090,1743,"Calle: Z, Numero: 9, Ciudad: y"
1091,1309,"Calle: p, Numero: 928, Ciudad: d"
1092,1161,"Calle: I, Numero: 49, Ciudad: i"
1093,1136,"Calle: x, Numero: 14, Ciudad: U"
1094,1981,"Calle: c, Numero: 6, Ciudad: K"
1095,1261,"Calle: L, Numero: 6, Ciudad: p"
1096,1337,"Calle: Z, Numero: 51, Ciudad: f"
1097,1734,"Calle: d, Numero: 122, Ciudad: N"
1098,1020,"Calle: k, Numero: 6, Ciudad: P"
1099,1642,"Calle: l, Numero: 0, Ciudad: Y"
1100,1586,"Calle: q, Numero: 9, Ciudad: D"
1101,1440,"Calle: H, Numero: 56, Ciudad: O"
1102,1664,"Calle: S, Numero: 2, Ciudad: F"
1103,1795,"Calle: u, Numero: 837, Ciudad: W"
1104,1473,"Calle: r, Numero: 327, Ciudad: l"
1105,1292,"Calle: A, Numero: 884, Ciudad: F"
1106,1554,"Calle: g, Numero: 7, Ciudad: R"
1107,1909,"Calle: X, Numero: 06, Ciudad: i"
1108,1224,"Calle: g, Numero: 88, Ciudad: v"
1109,1217,"Calle: I, Numero: 2, Ciudad: g"
1110,1526,"Calle: z, Numero: 770, Ciudad: y"
1111,1538,"Calle: Y, Numero: 8, Ciudad: W"
1112,1406,"Calle: A, Numero: 517, Ciudad: q"
1113,1731,"Calle: y, Numero: 82, Ciudad: D"
1114,1207,"Calle: i, Numero: 56, Ciudad: p"
1115,1180,"Calle: w, Numero: 9, Ciudad: D"
1116,1840,"Calle: y, Numero: 65, Ciudad: D"
1117,1274,"Calle: X, Numero: 953, Ciudad: x"
1118,1241,"Calle: J, Numero: 1, Ciudad: H"
1119,1974,"Calle: N, Numero: 049, Ciudad: b"
1120,1151,"Calle: Z, Numero: 71, Ciudad: m"
1121,1175,"Calle: E, Numero: 736, Ciudad: Q"
1122,1141,"Calle: i, Numero: 46, Ciudad: j"
1123,1191,"Calle: L, Numero: 830, Ciudad: s"
1124,1874,"Calle: s, Numero: 04, Ciudad: X"
1125,1411,"Calle: V, Numero: 6, Ciudad: t"
1126,1706,"Calle: M, Numero: 70, Ciudad: g"
1127,1571,"Calle: J, Numero: 9, Ciudad: y"
1128,1111,"Calle: u, Numero: 71, Ciudad: Z"
1129,1591,"Calle: O, Numero: 8, Ciudad: Q"
1130,1293,"Calle: s, Numero: 7, Ciudad: J"
1131,1148,"Calle: b, Numero: 65, Ciudad: j"
1132,1372,"Calle: p, Numero: 093, Ciudad: E"
1133,1862,"Calle: v, Numero: 55, Ciudad: o"
1134,1594,"Calle: J, Numero: 11, Ciudad: d"
1135,1463,"Calle: P, Numero: 246, Ciudad: w"
1136,1423,"Calle: Q, Numero: 256, Ciudad: T"
1137,1216,"Calle: E, Numero: 9, Ciudad: g"
1138,1513,"Calle: R, Numero: 1, Ciudad: F"
1139,1588,"Calle: R, Numero: 285, Ciudad: o"
1140,1824,"Calle: H, Numero: 8, Ciudad: k"
1141,1057,"Calle: G, Numero: 61, Ciudad: K"
1142,1573,"Calle: K, Numero: 701, Ciudad: t"
1143,1692,"Calle: E, Numero: 4, Ciudad: z"
1144,1258,"Calle: a, Numero: 623, Ciudad: b"
1145,1578,"Calle: z, Numero: 280, Ciudad: f"
1146,1427,"Calle: b, Numero: 1, Ciudad: M"
1147,1918,"Calle: I, Numero: 9, Ciudad: y"
1148,1700,"Calle: p, Numero: 2, Ciudad: L"
1149,1031,"Calle: j, Numero: 9, Ciudad: C"
1150,1267,"Calle: S, Numero: 93, Ciudad: q"
1151,1490,"Calle: u, Numero: 6, Ciudad: h"
1152,1527,"Calle: y, Numero: 7, Ciudad: S"
1153,1808,"Calle: p, Numero: 1, Ciudad: X"
1154,1355,"Calle: o, Numero: 0, Ciudad: Y"
1155,1985,"Calle: l, Numero: 48, Ciudad: D"
1156,1117,"Calle: U, Numero: 27, Ciudad: k"
1157,1675,"Calle: j, Numero: 39, Ciudad: Q"
1158,1093,"Calle: R, Numero: 06, Ciudad: J"
1159,1186,"Calle: T, Numero: 4, Ciudad: O"
1160,1999,"Calle: c, Numero: 821, Ciudad: p"
1161,1708,"Calle: O, Numero: 295, Ciudad: W"
1162,1438,"Calle: f, Numero: 10, Ciudad: v"
1163,1950,"Calle: m, Numero: 207, Ciudad: F"
1164,1476,"Calle: h, Numero: 230, Ciudad: o"
1165,1898,"Calle: c, Numero: 429, Ciudad: w"
1166,1807,"Calle: v, Numero: 920, Ciudad: r"
1167,1861,"Calle: n, Numero: 847, Ciudad: Y"
1168,1593,"Calle: x, Numero: 3, Ciudad: h"
1169,1474,"Calle: v, Numero: 0, Ciudad: y"
1170,1747,"Calle: P, Numero: 637, Ciudad: a"
1171,1200,"Calle: d, Numero: 316, Ciudad: G"
1172,1858,"Calle: j, Numero: 20, Ciudad: A"
1173,1892,"Calle: q, Numero: 7, Ciudad: O"
1174,1037,"Calle: j, Numero: 74, Ciudad: P"
1175,1939,"Calle: r, Numero: 77, Ciudad: c"
1176,1140,"Calle: W, Numero: 228, Ciudad: v"
1177,1868,"Calle: h, Numero: 7, Ciudad: J"
1178,1349,"Calle: d, Numero: 218, Ciudad: z"
1179,1863,"Calle: O, Numero: 57, Ciudad: Y"
1180,1121,"Calle: y, Numero: 78, Ciudad: j"
1181,1436,"Calle: g, Numero: 72, Ciudad: J"
1182,1750,"Calle: f, Numero: 9, Ciudad: A"
1183,1631,"Calle: G, Numero: 1, Ciudad: F"
1184,1090,"Calle: P, Numero: 394, Ciudad: J"
1185,1733,"Calle: j, Numero: 6, Ciudad: y"
1186,1055,"Calle: x, Numero: 93, Ciudad: z"
1187,1577,"Calle: f, Numero: 76, Ciudad: a"
1188,1477,"Calle: z, Numero: 07, Ciudad: h"
1189,1181,"Calle: Q, Numero: 81, Ciudad: w"
1190,1252,"Calle: T, Numero: 3, Ciudad: H"
1191,1048,"Calle: w, Numero: 645, Ciudad: O"
1192,1562,"Calle: u, Numero: 655, Ciudad: j"
1193,1344,"Calle: R, Numero: 6, Ciudad: S"
1194,1742,"Calle: b, Numero: 95, Ciudad: q"
1195,1268,"Calle: m, Numero: 6, Ciudad: U"
1196,1425,"Calle: x, Numero: 291, Ciudad: b"
1197,1276,"Calle: P, Numero: 12, Ciudad: j"
1198,1881,"Calle: a, Numero: 704, Ciudad: P"
1199,1843,"Calle: H, Numero: 276, Ciudad: f"
1200,1363,"Calle: Z, Numero: 2, Ciudad: m"
1201,1472,"Calle: y, Numero: 94, Ciudad: Z"
1202,1054,"Calle: J, Numero: 4, Ciudad: A"
1203,1716,"Calle: t, Numero: 950, Ciudad: U"
1204,1850,"Calle: t, Numero: 202, Ciudad: s"
1205,1550,"Calle: A, Numero: 14, Ciudad: X"
1206,1703,"Calle: I, Numero: 121, Ciudad: Q"
1207,1976,"Calle: K, Numero: 52, Ciudad: T"
1208,1780,"Calle: i, Numero: 97, Ciudad: I"
1209,1563,"Calle: f, Numero: 168, Ciudad: n"
1210,1510,"Calle: c, Numero: 19, Ciudad: j"
1211,1598,"Calle: Z, Numero: 3, Ciudad: z"
1212,1047,"Calle: r, Numero: 347, Ciudad: V"
1213,1300,"Calle: s, Numero: 380, Ciudad: b"
1214,1678,"Calle: K, Numero: 782, Ciudad: T"
1215,1496,"Calle: f, Numero: 50, Ciudad: h"
1216,1041,"Calle: d, Numero: 84, Ciudad: W"
1217,1969,"Calle: N, Numero: 530, Ciudad: D"
1218,1784,"Calle: s, Numero: 60, Ciudad: b"
1219,1301,"Calle: n, Numero: 9, Ciudad: y"
1220,1306,"Calle: O, Numero: 6, Ciudad: v"
1221,1096,"Calle: g, Numero: 398, Ciudad: h"
1222,1030,"Calle: r, Numero: 3, Ciudad: p"
1223,1075,"Calle: W, Numero: 4, Ciudad: i"
1224,1556,"Calle: A, Numero: 555, Ciudad: z"
1225,1931,"Calle: W, Numero: 0, Ciudad: N"
1226,1263,"Calle: U, Numero: 92, Ciudad: F"
1227,1232,"Calle: B, Numero: 545, Ciudad: x"
1228,1329,"Calle: U, Numero: 61, Ciudad: A"
1229,1830,"Calle: N, Numero: 10, Ciudad: E"
1230,1558,"Calle: i, Numero: 304, Ciudad: W"
1231,1983,"Calle: c, Numero: 3, Ciudad: v"
1232,1390,"Calle: n, Numero: 16, Ciudad: b"
1233,1007,"Calle: w, Numero: 6, Ciudad: F"
1234,1789,"Calle: Z, Numero: 862, Ciudad: c"
1235,1370,"Calle: U, Numero: 58, Ciudad: q"
1236,1890,"Calle: B, Numero: 3, Ciudad: A"
1237,1067,"Calle: v, Numero: 2, Ciudad: C"
1238,1383,"Calle: Q, Numero: 36, Ciudad: a"
1239,1623,"Calle: Z, Numero: 53, Ciudad: A"
1240,1108,"Calle: K, Numero: 965, Ciudad: T"
1241,1877,"Calle: w, Numero: 62, Ciudad: e"
1242,1049,"Calle: n, Numero: 77, Ciudad: K"
1243,1630,"Calle: G, Numero: 51, Ciudad: M"
1244,1409,"Calle: p, Numero: 2, Ciudad: K"
1245,1433,"Calle: D, Numero: 214, Ciudad: T"
1246,1608,"Calle: H, Numero: 393, Ciudad: G"
1247,1456,"Calle: X, Numero: 409, Ciudad: c"
1248,1196,"Calle: A, Numero: 35, Ciudad: Q"
1249,1434,"Calle: T, Numero: 44, Ciudad: H"
1250,1130,"Calle: B, Numero: 63, Ciudad: X"
1251,1012,"Calle: h, Numero: 868, Ciudad: k"
1252,1864,"Calle: W, Numero: 70, Ciudad: x"
1253,1052,"Calle: o, Numero: 7, Ciudad: g"
1254,1357,"Calle: m, Numero: 25, Ciudad: r"
1255,1764,"Calle: A, Numero: 191, Ciudad: h"
1256,1220,"Calle: u, Numero: 565, Ciudad: B"
1257,1129,"Calle: M, Numero: 402, Ciudad: r"
1258,1126,"Calle: u, Numero: 876, Ciudad: d"
1259,1271,"Calle: Q, Numero: 10, Ciudad: P"
1260,1368,"Calle: T, Numero: 9, Ciudad: I"
1261,1728,"Calle: F, Numero: 4, Ciudad: C"
1262,1936,"Calle: e, Numero: 46, Ciudad: k"
1263,1006,"Calle: G, Numero: 1, Ciudad: W"
1264,1080,"Calle: p, Numero: 515, Ciudad: r"
1265,1534,"Calle: B, Numero: 11, Ciudad: w"
1266,1754,"Calle: G, Numero: 6, Ciudad: a"
1267,1667,"Calle: O, Numero: 486, Ciudad: C"
1268,1546,"Calle: Y, Numero: 5, Ciudad: H"
1269,1953,"Calle: z, Numero: 19, Ciudad: o"
1270,1040,"Calle: O, Numero: 3, Ciudad: y"
1271,1847,"Calle: N, Numero: 49, Ciudad: j"
1272,1732,"Calle: n, Numero: 91, Ciudad: D"
1273,1377,"Calle: F, Numero: 576, Ciudad: B"
1274,1160,"Calle: u, Numero: 100, Ciudad: B"
1275,1354,"Calle: O, Numero: 4, Ciudad: k"
1276,1637,"Calle: d, Numero: 566, Ciudad: q"
1277,1014,"Calle: N, Numero: 16, Ciudad: n"
1278,1875,"Calle: v, Numero: 4, Ciudad: v"
1279,1834,"Calle: M, Numero: 3, Ciudad: w"
1280,1231,"Calle: p, Numero: 424, Ciudad: K"
1281,1451,"Calle: B, Numero: 3, Ciudad: c"
1282,1036,"Calle: E, Numero: 6, Ciudad: U"
1283,1511,"Calle: k, Numero: 990, Ciudad: W"
1284,1845,"Calle: A, Numero: 06, Ciudad: e"
1285,1757,"Calle: s, Numero: 630, Ciudad: P"
1286,1340,"Calle: R, Numero: 5, Ciudad: O"
1287,1659,"Calle: w, Numero: 132, Ciudad: m"
1288,1860,"Calle: T, Numero: 194, Ciudad: G"
1289,1327,"Calle: F, Numero: 5, Ciudad: v"
1290,1745,"Calle: P, Numero: 2, Ciudad: g"
1291,1759,"Calle: v, Numero: 6, Ciudad: W"
1292,1154,"Calle: J, Numero: 4, Ciudad: G"
1293,1916,"Calle: q, Numero: 008, Ciudad: z"
1294,1449,"Calle: T, Numero: 2, Ciudad: j"
1295,1350,"Calle: z, Numero: 1, Ciudad: R"
1296,1523,"Calle: E, Numero: 88, Ciudad: U"
1297,1756,"Calle: s, Numero: 638, Ciudad: f"
1298,1159,"Calle: X, Numero: 11, Ciudad: T"
1299,1565,"Calle: X, Numero: 8, Ciudad: G"
1300,1680,"Calle: C, Numero: 46, Ciudad: h"
1301,1671,"Calle: l, Numero: 337, Ciudad: T"
1302,1134,"Calle: z, Numero: 289, Ciudad: n"
1303,1882,"Calle: x, Numero: 5, Ciudad: S"
1304,1645,"Calle: Z, Numero: 550, Ciudad: u"
1305,1101,"Calle: u, Numero: 978, Ciudad: w"
1306,1089,"Calle: D, Numero: 6, Ciudad: M"
1307,1893,"Calle: b, Numero: 341, Ciudad: p"
1308,1279,"Calle: N, Numero: 9, Ciudad: B"
1309,1100,"Calle: S, Numero: 936, Ciudad: Z"
1310,1245,"Calle: Q, Numero: 8, Ciudad: m"
1311,1498,"Calle: P, Numero: 8, Ciudad: K"
1312,1674,"Calle: f, Numero: 2, Ciudad: Q"
1313,1178,"Calle: M, Numero: 078, Ciudad: C"
1314,1871,"Calle: V, Numero: 422, Ciudad: Q"
1315,1906,"Calle: y, Numero: 4, Ciudad: D"
1316,1782,"Calle: s, Numero: 261, Ciudad: H"
1317,1410,"Calle: T, Numero: 99, Ciudad: t"
1318,1873,"Calle: z, Numero: 980, Ciudad: j"
1319,1071,"Calle: d, Numero: 82, Ciudad: a"
1320,1253,"Calle: W, Numero: 45, Ciudad: P"
1321,1652,"Calle: k, Numero: 13, Ciudad: w"
1322,1335,"Calle: L, Numero: 556, Ciudad: w"
1323,1766,"Calle: Q, Numero: 9, Ciudad: E"
1324,1104,"Calle: C, Numero: 253, Ciudad: r"
1325,1457,"Calle: G, Numero: 12, Ciudad: o"
1326,1408,"Calle: E, Numero: 868, Ciudad: S"
1327,1462,"Calle: v, Numero: 33, Ciudad: Q"
1328,1629,"Calle: N, Numero: 0, Ciudad: Z"
1329,1435,"Calle: P, Numero: 9, Ciudad: y"
1330,1576,"Calle: p, Numero: 039, Ciudad: c"
1331,1053,"Calle: Q, Numero: 459, Ciudad: O"
1332,1521,"Calle: B, Numero: 357, Ciudad: G"
1333,1480,"Calle: x, Numero: 685, Ciudad: i"
1334,1797,"Calle: w, Numero: 669, Ciudad: i"
1335,1741,"Calle: V, Numero: 96, Ciudad: X"
1336,1823,"Calle: e, Numero: 35, Ciudad: m"
1337,1330,"Calle: z, Numero: 448, Ciudad: x"
1338,1034,"Calle: L, Numero: 417, Ciudad: J"
1339,1502,"Calle: D, Numero: 3, Ciudad: o"
1340,1447,"Calle: r, Numero: 8, Ciudad: Y"
1341,1767,"Calle: N, Numero: 68, Ciudad: x"
1342,1945,"Calle: b, Numero: 1, Ciudad: f"
1343,1193,"Calle: y, Numero: 426, Ciudad: a"
1344,1736,"Calle: A, Numero: 4, Ciudad: g"
1345,1143,"Calle: P, Numero: 44, Ciudad: d"
1346,1531,"Calle: q, Numero: 5, Ciudad: u"
1347,1522,"Calle: g, Numero: 47, Ciudad: j"
1348,1105,"Calle: u, Numero: 282, Ciudad: p"
1349,1206,"Calle: B, Numero: 73, Ciudad: z"
1350,1831,"Calle: p, Numero: 01, Ciudad: q"
1351,1545,"Calle: V, Numero: 8, Ciudad: w"
1352,1935,"Calle: v, Numero: 61, Ciudad: H"
1353,1430,"Calle: R, Numero: 74, Ciudad: C"
1354,1895,"Calle: k, Numero: 666, Ciudad: L"
1355,1778,"Calle: x, Numero: 093, Ciudad: D"
1356,1709,"Calle: Y, Numero: 68, Ciudad: t"
1357,1613,"Calle: U, Numero: 58, Ciudad: H"
1358,1905,"Calle: e, Numero: 2, Ciudad: i"
1359,1455,"Calle: d, Numero: 774, Ciudad: k"
1360,1213,"Calle: I, Numero: 83, Ciudad: h"
1361,1826,"Calle: M, Numero: 46, Ciudad: P"
1362,1912,"Calle: r, Numero: 4, Ciudad: e"
1363,1062,"Calle: z, Numero: 730, Ciudad: v"
1364,1002,"Calle: f, Numero: 384, Ciudad: B"
1365,1592,"Calle: r, Numero: 0, Ciudad: Y"
1366,1215,"Calle: h, Numero: 68, Ciudad: H"
1367,1097,"Calle: M, Numero: 5, Ciudad: D"
1368,1282,"Calle: W, Numero: 6, Ciudad: J"
1369,1978,"Calle: h, Numero: 562, Ciudad: r"
1370,1155,"Calle: m, Numero: 368, Ciudad: Z"
1371,1835,"Calle: S, Numero: 284, Ciudad: q"
1372,1729,"Calle: v, Numero: 56, Ciudad: E"
1373,1619,"Calle: b, Numero: 4, Ciudad: l"
1374,1581,"Calle: R, Numero: 80, Ciudad: x"
1375,1661,"Calle: B, Numero: 42, Ciudad: C"
1376,1394,"Calle: u, Numero: 4, Ciudad: f"
1377,1138,"Calle: W, Numero: 612, Ciudad: B"
1378,1439,"Calle: G, Numero: 52, Ciudad: A"
1379,1693,"Calle: H, Numero: 55, Ciudad: f"
1380,1420,"Calle: k, Numero: 6, Ciudad: a"
1381,1995,"Calle: H, Numero: 50, Ciudad: w"
1382,1568,"Calle: z, Numero: 9, Ciudad: Z"
1383,1493,"Calle: f, Numero: 24, Ciudad: V"
1384,1499,"Calle: t, Numero: 8, Ciudad: P"
1385,1992,"Calle: b, Numero: 995, Ciudad: v"
1386,1867,"Calle: T, Numero: 981, Ciudad: l"
1387,1429,"Calle: v, Numero: 662, Ciudad: M"
1388,1386,"Calle: D, Numero: 2, Ciudad: s"
1389,1257,"Calle: Z, Numero: 38, Ciudad: D"
1390,1384,"Calle: X, Numero: 130, Ciudad: C"
1391,1238,"Calle: x, Numero: 433, Ciudad: H"
1392,1996,"Calle: d, Numero: 61, Ciudad: x"
1393,1119,"Calle: K, Numero: 9, Ciudad: O"
1394,1987,"Calle: u, Numero: 6, Ciudad: P"
1395,1192,"Calle: G, Numero: 60, Ciudad: E"
1396,1542,"Calle: o, Numero: 6, Ciudad: Z"
1397,1529,"Calle: y, Numero: 08, Ciudad: v"
1398,1114,"Calle: E, Numero: 57, Ciudad: Y"
1399,1222,"Calle: Y, Numero: 18, Ciudad: Q"
1400,1790,"Calle: c, Numero: 187, Ciudad: c"
1401,1753,"Calle: a, Numero: 61, Ciudad: l"
1402,1039,"Calle: o, Numero: 22, Ciudad: h"
1403,1475,"Calle: T, Numero: 134, Ciudad: L"
1404,1753,"Calle: L, Numero: 918, Ciudad: X"
1405,1725,"Calle: y, Numero: 6, Ciudad: J"
1406,1054,"Calle: s, Numero: 260, Ciudad: W"
1407,1149,"Calle: W, Numero: 5, Ciudad: K"
1408,1635,"Calle: C, Numero: 2, Ciudad: W"
1409,1545,"Calle: U, Numero: 08, Ciudad: k"
1410,1261,"Calle: H, Numero: 00, Ciudad: B"
1411,1084,"Calle: r, Numero: 79, Ciudad: I"
1412,1738,"Calle: u, Numero: 5, Ciudad: I"
1413,1111,"Calle: m, Numero: 3, Ciudad: l"
1414,1594,"Calle: Y, Numero: 97, Ciudad: T"
1415,1706,"Calle: l, Numero: 679, Ciudad: C"
1416,1421,"Calle: R, Numero: 64, Ciudad: j"
1417,1523,"Calle: r, Numero: 152, Ciudad: P"
1418,1549,"Calle: T, Numero: 11, Ciudad: W"
1419,1802,"Calle: N, Numero: 99, Ciudad: J"
1420,1713,"Calle: J, Numero: 288, Ciudad: T"
1421,1431,"Calle: G, Numero: 551, Ciudad: D"
1422,1358,"Calle: f, Numero: 93, Ciudad: h"
1423,1057,"Calle: h, Numero: 79, Ciudad: x"
1424,1984,"Calle: P, Numero: 196, Ciudad: D"
1425,1904,"Calle: S, Numero: 5, Ciudad: U"
1426,1189,"Calle: W, Numero: 9, Ciudad: l"
1427,1584,"Calle: a, Numero: 75, Ciudad: n"
1428,1996,"Calle: d, Numero: 33, Ciudad: D"
1429,1741,"Calle: c, Numero: 9, Ciudad: q"
1430,1502,"Calle: W, Numero: 98, Ciudad: l"
1431,1583,"Calle: Q, Numero: 0, Ciudad: L"
1432,1349,"Calle: n, Numero: 188, Ciudad: b"
1433,1006,"Calle: t, Numero: 749, Ciudad: P"
1434,1362,"Calle: t, Numero: 94, Ciudad: B"
1435,1032,"Calle: O, Numero: 98, Ciudad: Y"
1436,1550,"Calle: l, Numero: 7, Ciudad: m"
1437,1040,"Calle: L, Numero: 02, Ciudad: O"
1438,1374,"Calle: R, Numero: 571, Ciudad: a"
1439,1650,"Calle: I, Numero: 51, Ciudad: J"
1440,1963,"Calle: a, Numero: 5, Ciudad: j"
1441,1976,"Calle: B, Numero: 26, Ciudad: q"
1442,1222,"Calle: K, Numero: 94, Ciudad: X"
1443,1927,"Calle: A, Numero: 48, Ciudad: w"
1444,1306,"Calle: i, Numero: 03, Ciudad: S"
1445,1897,"Calle: X, Numero: 21, Ciudad: m"
1446,1351,"Calle: X, Numero: 237, Ciudad: v"
1447,1429,"Calle: a, Numero: 118, Ciudad: U"
1448,1739,"Calle: U, Numero: 09, Ciudad: k"
1449,1048,"Calle: z, Numero: 231, Ciudad: C"
1450,1881,"Calle: I, Numero: 657, Ciudad: k"
1451,1543,"Calle: G, Numero: 571, Ciudad: D"
1452,1101,"Calle: p, Numero: 5, Ciudad: i"
1453,1672,"Calle: t, Numero: 0, Ciudad: Y"
1454,1906,"Calle: b, Numero: 61, Ciudad: V"
1455,1108,"Calle: r, Numero: 532, Ciudad: w"
1456,1314,"Calle: o, Numero: 677, Ciudad: y"
1457,1344,"Calle: y, Numero: 178, Ciudad: g"
1458,1985,"Calle: O, Numero: 88, Ciudad: b"
1459,1481,"Calle: s, Numero: 912, Ciudad: S"
1460,1852,"Calle: i, Numero: 11, Ciudad: V"
1461,1540,"Calle: m, Numero: 1, Ciudad: B"
1462,1336,"Calle: X, Numero: 6, Ciudad: Z"
1463,1325,"Calle: z, Numero: 021, Ciudad: x"
1464,1044,"Calle: e, Numero: 117, Ciudad: G"
1465,1758,"Calle: F, Numero: 757, Ciudad: J"
1466,1510,"Calle: U, Numero: 23, Ciudad: f"
1467,1636,"Calle: r, Numero: 9, Ciudad: K"
1468,1577,"Calle: q, Numero: 38, Ciudad: K"
1469,1670,"Calle: Z, Numero: 34, Ciudad: E"
1470,1117,"Calle: G, Numero: 678, Ciudad: K"
1471,1834,"Calle: Y, Numero: 518, Ciudad: d"
1472,1865,"Calle: G, Numero: 019, Ciudad: f"
1473,1735,"Calle: e, Numero: 72, Ciudad: I"
1474,1800,"Calle: D, Numero: 0, Ciudad: T"
1475,1868,"Calle: R, Numero: 630, Ciudad: c"
1476,1158,"Calle: F, Numero: 64, Ciudad: F"
1477,1274,"Calle: P, Numero: 4, Ciudad: m"
1478,1570,"Calle: l, Numero: 547, Ciudad: I"
1479,1590,"Calle: c, Numero: 043, Ciudad: C"
